Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7
ENSG00000188976,NOC2L,59,1.12528,37,-0.3452,22,-1.2985
ENSG00000188290,HES4,114,0.90136,14,-2.8407,84,-0.1590
ENSG00000078808,SDF4,100,0.79729,88,0.12609,42,-1.2082
ENSG00000160087,UBE2J2,41,0.33027,42,0.20316,28,-0.5664
ENSG00000131584,ACAP3,136,0.10120,162,0.35492,109,-0.3745
ENSG00000127054,INTS11,54,0.52868,64,0.54948,24,-1.2267
ENSG00000107404,DVL1,82,0.55539,75,0.10748,46,-0.8108
ENSG00000175756,AURKAIP1,119,0.36474,71,-0.6901,104,-0.0806
ENSG00000221978,CCNL2,100,0.43947,113,0.41397,54,-0.9211
ENSG00000242485,MRPL20,200,0.84832,125,-0.4290,104,-0.8277
ENSG00000179403,VWA1,33,-1.7929,252,2.73701,46,-0.7160
ENSG00000205090,TMEM240,62,1.09857,21,-1.3046,32,-0.7127
ENSG00000160075,SSU72,215,1.14951,78,-1.1902,106,-0.8212
ENSG00000272106,AL691432.2,58,0.92218,24,-1.0344,33,-0.6042
ENSG00000197530,MIB2,48,0.31979,50,0.22880,32,-0.5726
ENSG00000078369,GNB1,497,0.95467,186,-1.1993,291,-0.5779
ENSG00000187730,GABRD,258,1.71762,23,-3.1638,106,-0.9920
ENSG00000067606,PRKCZ,263,1.03511,102,-1.1208,141,-0.7075
ENSG00000162585,FAAP20,61,0.74558,56,0.17310,26,-1.1706
ENSG00000157933,SKI,60,-0.1518,74,0.29987,62,-0.0102
ENSG00000157916,RER1,79,0.40498,90,0.40895,44,-0.8616
ENSG00000157870,PRXL2B,93,1.25802,25,-1.5743,45,-0.8104
ENSG00000158109,TPRG1L,213,1.73491,30,-2.4860,81,-1.1247
ENSG00000130764,LRRC47,101,1.12994,37,-1.1626,50,-0.8083
ENSG00000196581,AJAP1,84,1.35524,19,-1.8273,39,-0.8478
ENSG00000069424,KCNAB2,188,1.17811,29,-2.4619,110,-0.5076
ENSG00000116251,RPL22,347,-0.7106,968,1.45125,368,-0.3570
ENSG00000116237,ICMT,96,1.61451,28,-1.3697,32,-1.3435
ENSG00000097021,ACOT7,315,2.14752,19,-3.6625,97,-1.3980
ENSG00000162408,NOL9,37,0.12124,22,-0.7713,40,0.22892
ENSG00000162413,KLHL21,61,0.64597,30,-0.8403,43,-0.3502
ENSG00000007923,DNAJC11,46,0.74782,27,-0.5603,27,-0.6140
ENSG00000171735,CAMTA1,185,1.22736,70,-1.1051,83,-0.9584
ENSG00000049245,VAMP3,44,-0.6418,118,1.42875,43,-0.4253
ENSG00000049246,PER3,68,0.39548,46,-0.4618,55,-0.2234
ENSG00000116288,PARK7,339,0.76679,178,-0.7313,209,-0.5489
ENSG00000142599,RERE,104,0.54808,67,-0.4843,73,-0.4003
ENSG00000074800,ENO1,785,0.83903,189,-1.9060,563,-0.2413
ENSG00000171603,CLSTN1,734,1.78983,117,-2.2918,259,-1.2341
ENSG00000162441,LZIC,33,-0.7799,51,0.29350,59,0.69642
ENSG00000130939,UBE4B,71,0.66082,63,0.09117,36,-0.9556
ENSG00000054523,KIF1B,423,0.59429,350,-0.0551,245,-0.7359
ENSG00000142657,PGD,61,0.94453,47,-0.0536,24,-1.2725
ENSG00000241563,CORT,557,3.12231,17,-4.4812,87,-2.3684
ENSG00000120948,TARDBP,83,0.09858,116,0.62760,58,-0.6144
ENSG00000116649,SRM,114,1.35702,46,-0.9639,43,-1.2060
ENSG00000198793,MTOR,53,1.31659,16,-1.4559,24,-0.9235
ENSG00000116661,FBXO2,213,0.40269,137,-0.5422,173,-0.1924
ENSG00000132879,FBXO44,173,1.20660,42,-1.7703,91,-0.6899
ENSG00000011021,CLCN6,63,0.36311,77,0.50955,35,-0.8995
ENSG00000116688,MFN2,155,0.45505,137,0.00153,101,-0.5839
ENSG00000048707,VPS13D,106,1.05243,53,-0.6984,49,-0.9408
ENSG00000162496,DHRS3,49,-0.2146,35,-0.6578,69,0.55278
ENSG00000116731,PRDM2,84,0.62321,66,-0.1402,49,-0.7134
ENSG00000189337,KAZN,62,0.62257,54,0.04928,33,-0.8610
ENSG00000116786,PLEKHM2,69,0.72634,57,-0.0048,34,-0.9710
ENSG00000065526,SPEN,48,-0.7154,98,0.80211,71,0.27866
ENSG00000159363,ATP13A2,158,1.00542,25,-2.4851,106,-0.3168
ENSG00000117118,SDHB,101,0.94268,46,-0.9102,56,-0.6851
ENSG00000117115,PADI2,34,-2.5491,400,2.84167,99,-0.1122
ENSG00000127463,EMC1,57,1.35688,23,-0.9658,22,-1.2047
ENSG00000053371,AKR7A2,71,0.37272,36,-0.9107,64,-0.0025
ENSG00000077549,CAPZB,222,0.66885,134,-0.5442,142,-0.5211
ENSG00000173436,MICOS10,171,0.15951,202,0.35966,129,-0.4577
ENSG00000158747,NBL1,201,1.26881,44,-1.9169,103,-0.7226
ENSG00000162545,CAMK2N1,534,-0.3397,1090,1.08684,470,-0.4582
ENSG00000158828,PINK1,418,0.47799,264,-0.5417,318,-0.2840
ENSG00000189410,SH2D5,111,1.49819,13,-2.7427,52,-0.8125
ENSG00000127483,HP1BP3,245,0.60059,213,0.02653,136,-0.8096
ENSG00000075151,EIF4G3,99,0.09955,92,-0.0638,92,-0.0821
ENSG00000076864,RAP1GAP,592,1.73236,114,-2.0236,210,-1.2405
ENSG00000090686,USP48,105,0.32094,83,-0.2459,84,-0.2481
ENSG00000070831,CDC42,268,0.81605,173,-0.3854,142,-0.8117
ENSG00000173369,C1QB,15,-2.5624,129,1.95404,69,0.87676
ENSG00000125944,HNRNPR,156,0.86087,108,-0.2601,75,-0.9645
ENSG00000142676,RPL11,493,-0.9883,1530,1.44418,701,0.00240
ENSG00000057757,PITHD1,255,1.20185,89,-1.2276,121,-0.8712
ENSG00000011009,LYPLA2,77,2.00607,13,-2.1205,22,-1.5467
ENSG00000189266,PNRC2,59,0.13205,55,-0.0600,53,-0.1241
ENSG00000188529,SRSF10,66,0.42063,48,-0.3240,50,-0.3283
ENSG00000001461,NIPAL3,103,0.17461,166,0.92804,54,-1.0870
ENSG00000133226,SRRM1,54,-0.4061,132,1.39896,41,-0.7407
ENSG00000169504,CLIC4,35,-2.0486,231,1.99629,103,0.47228
ENSG00000117614,SYF2,60,0.38557,58,0.09805,40,-0.5606
ENSG00000117616,RSRP1,111,0.70288,100,0.13141,52,-1.0592
ENSG00000183726,TMEM50A,113,0.39310,103,0.02779,77,-0.5185
ENSG00000162430,SELENON,46,0.33511,60,0.61663,24,-0.9725
ENSG00000117640,MTFR1L,110,0.88650,31,-1.6242,73,-0.3623
ENSG00000117632,STMN1,825,1.12919,682,0.12590,224,-1.8248
ENSG00000142669,SH3BGRL3,210,0.52353,162,-0.2008,138,-0.5360
ENSG00000198830,HMGN2,179,0.27482,224,0.52409,110,-0.7761
