# RGD-PIPELINE: ftp-file-extracts
# MODULE: orthologs-version-2.1.6
# GENERATED-ON: 2020/01/10
# RGD Ortholog FTP file
# From: RGD
# URL: http://rgd.mcw.edu
# Contact: RGD.Data@mcw.edu
#
### As of Dec 19 2011 v. 2.0.1: no data changes; improved internal QC.
### As of Feb 11 2013 v. 2.1.0: added column HUMAN_ORTHOLOG_HGNC_ID as the last column in the file
### As of Feb 4 2015 v. 2.1.1: updated description in header
#
# Format:
# Comment lines begin with '#'
# Tab delimited fields, one line per rat gene.
# Fields in order:
# 1. RAT_GENE_SYMBOL
# 2. RAT_GENE_RGD_ID
# 3. RAT_GENE_NCBI_GENE_ID
# 4. HUMAN_ORTHOLOG_SYMBOL - human ortholog(s) to rat gene
# 5. HUMAN_ORTHOLOG_RGD_ID
# 6. HUMAN_ORTHOLOG_NCBI_GENE_ID
# 7. HUMAN_ORTHOLOG_SOURCE - RGD or MGI
# 8. MOUSE_ORTHOLOG_SYMBOL - mouse ortholog(s) to rat gene
# 9. MOUSE_ORTHOLOG_RGD_ID
#10. MOUSE_ORTHOLOG_NCBI_GENE_ID
#11. MOUSE_ORTHOLOG_MGI_ID
#12. MOUSE_ORTHOLOG_SOURCE - RGD or MGI
#13. HUMAN_ORTHOLOG_HGNC_ID
#
# Most orthologs listed will be one-to-one-to-one across all three species.
# Where multiple human or mouse homologs are present in RGD the human and mouse
# fields will contain multiple entries separated by '|'.
#
# There may not be a curated ortholog for human or mouse in which case the fields
# for the respective species will be blank
#
# Multiple orthologs may be redundant when assigned by both RGD and MGI. These will
# be resolved over time.
#
# SOURCE fields will be either 'RGD', for orthologs manually created by RGD curators,
# or 'HGNC' for ortholog data derived from the HGNC Comparison of Orthology Predictions (HCOP) data compiled by:
# HUGO Gene Nomenclature Committee, European Bioinformatics Institute (EMBL-EBI)
# Wellcome Trust Genome Campus, Hinxton, Cambridge, UK
# URL:  http://www.genenames.org/
#
# Reference for HGNC and HCOP:
# Gray KA, Yates B, Seal RL, Wright MW, Bruford EA. 
# Genenames.org: the HGNC resources in 2015.
# Nucleic Acids Res. 2015 Jan 28;43(Database issue):D1079-85. 
# PMID: 25361968,  doi: 10.1093/nar/gku1071.
#
RAT_GENE_SYMBOL	RAT_GENE_RGD_ID	RAT_GENE_NCBI_GENE_ID	HUMAN_ORTHOLOG_SYMBOL	HUMAN_ORTHOLOG_RGD	HUMAN_ORTHOLOG_NCBI_GENE_ID	HUMAN_ORTHOLOG_SOURCE	MOUSE_ORTHOLOG_SYMBOL	MOUSE_ORTHOLOG_RGD	MOUSE_ORTHOLOG_NCBI_GENE_ID	MOUSE_ORTHOLOG_MGI	MOUSE_ORTHOLOG_SOURCE	HUMAN_ORTHOLOG_HGNC_ID
Aadacl2	1563197	295076	AADACL2	1606396	344752	RGD	Aadacl2	1623443	639634	MGI:3646333	RGD	HGNC:24427
Aadacl4	1565761	313688	AADACL4	1603850	343066	RGD	Aadacl4	2294760	435815	MGI:3650257	RGD	HGNC:32038
Abca3	1307174	302973	ABCA3	1316207	21	RGD	Abca3	1316208	27410	MGI:1351617	RGD	HGNC:33
Abcb1a	619951	170913	ABCB1	730823	5243	RGD	Abcb1a	1620890	18671	MGI:97570	RGD	HGNC:40
Abo	2307241	100301568	ABO	730884	28	RGD	Abo	730885	80908	MGI:2135738	RGD	HGNC:79
Acaa1a	67379	24157	ACAA1	69012	30	RGD	Acaa1a	735985	113868	MGI:2148491	RGD	HGNC:82
Acad10	1310159	304500	ACAD10	1346668	80724	RGD	Acad10	1620764	71985	MGI:1919235	RGD	HGNC:21597
Acbd6	1305030	289125	ACBD6	1312817	84320	RGD	Acbd6	1312818	72482	MGI:1919732	Ensembl	HGNC:23339
Acbd6	1305030	289125	ACBD6	1312817	84320	RGD	Acbd6	1312818	72482	MGI:1919732	PhylomeDB	HGNC:23339
Acbd6	1305030	289125	ACBD6	1312817	84320	RGD	Acbd6	1312818	72482	MGI:1919732	Inparanoid	HGNC:23339
Acbd6	1305030	289125	ACBD6	1312817	84320	RGD	Acbd6	1312818	72482	MGI:1919732	OMA	HGNC:23339
Acbd6	1305030	289125	ACBD6	1312817	84320	RGD	Acbd6	1312818	72482	MGI:1919732	OrthoMCL	HGNC:23339
Acbd6	1305030	289125	ACBD6	1312817	84320	RGD	Acbd6	1312818	72482	MGI:1919732	EggNOG	HGNC:23339
Acbd6	1305030	289125	ACBD6	1312817	84320	RGD	Acbd6	1312818	72482	MGI:1919732	Treefam	HGNC:23339
Acot1	70894	50559	ACOT1	1605748	641371	RGD	Acot1	1617592	26897	MGI:1349396	RGD	HGNC:33128
Acsm1	1306813	361638	ACSM1	1315639	116285	RGD	Acsm1	1315640	117147	MGI:2152200	Panther	HGNC:18049
Acsm1	1306813	361638	ACSM1	1315639	116285	RGD	Acsm1	1315640	117147	MGI:2152200	HomoloGene	HGNC:18049
Acsm1	1306813	361638	ACSM1	1315639	116285	RGD	Acsm1	1315640	117147	MGI:2152200	NCBI	HGNC:18049
Acsm2	708383	246263	ACSM2A	1606171	123876	RGD	Acsm2	1615672	233799	MGI:2385289	Panther	HGNC:32017
Acsm2	708383	246263	ACSM2A	1606171	123876	RGD	Acsm2	1615672	233799	MGI:2385289	HomoloGene	HGNC:32017
Acsm2	708383	246263	ACSM2A	1606171	123876	RGD	Acsm2	1615672	233799	MGI:2385289	EggNOG	HGNC:32017
Acta2	621676	81633	ACTA2	1348351	59	RGD	Acta2	1616012	11475	MGI:87909	RGD	HGNC:130
Actl9	1306886	314659	ACTL9	1602048	284382	RGD	Actl9	1332083	69481	MGI:1916731	RGD	HGNC:28494
Acy1	2030	300981	ACY1	1351880	95	RGD	Acy1	10080	109652	MGI:87913	Panther	HGNC:177
Acy1	2030	300981	ACY1	1351880	95	RGD	Acy1	10080	109652	MGI:87913	Inparanoid	HGNC:177
Acy1	2030	300981	ACY1	1351880	95	RGD	Acy1	10080	109652	MGI:87913	OMA	HGNC:177
Acy1	2030	300981	ACY1	1351880	95	RGD	Acy1	10080	109652	MGI:87913	OrthoMCL	HGNC:177
Acy1	2030	300981	ACY1	1351880	95	RGD	Acy1	10080	109652	MGI:87913	EggNOG	HGNC:177
Acy1	2030	300981	ACY1	1351880	95	RGD	Acy1	10080	109652	MGI:87913	Treefam	HGNC:177
Adam1a	621467	56777	ADAM1A	1345474	8759	RGD	Adam1a	1552279	280668	MGI:2429504	RGD	HGNC:187
Adam20	1562912	290726	ADAM20	1345378	8748	RGD	Adam20	2313371	384806	MGI:2152342	RGD	HGNC:199
Adam33	1305278	311425	ADAM33	1313212	80332	RGD	Adam33	1313213	110751	MGI:1341813	RGD	HGNC:15478
Adam3a	621469	57021	ADAM3A	1350597	1587	RGD	Adam3	733784	11497	MGI:102518	RGD	HGNC:209
Adam6a	621472	192271	ADAM6	1351124	8755	RGD	Adam6a	1619823	238406	MGI:2676316	RGD	HGNC:213
Adcy9	1304747	302950	ADCY9	1312370	115	RGD	Adcy9	1312371	11515	MGI:108450	RGD	HGNC:240
Adh1	2044	24172	ADH1C	1344246	126	RGD	Adh1	10090	11522	MGI:87921	RGD	HGNC:251
Adora3	2051	25370	ADORA3	735600	140	RGD	Adora3	10093	11542	MGI:104847	RGD	HGNC:268
Adssl1	1590342	684425	ADSS1	1351020	122622	RGD	Adssl1	1615207	11565	MGI:87947	RGD	HGNC:20093
Ago4	1304583	298533	AGO4	1312105	192670	RGD	Ago4	1312106	76850	MGI:1924100	RGD	HGNC:18424
Agps	620364	84114	AGPS	732011	8540	RGD	Agps	732012	228061	MGI:2443065	RGD	HGNC:327
Ak6	7387335	102238592	AK6	7382322	102157402	RGD	Ak6	7401162	102216272	MGI:5510732	OrthoDB	HGNC:49151
Ak6	7387335	102238592	AK6	7382322	102157402	RGD	Ak6	7401162	102216272	MGI:5510732	HomoloGene	HGNC:49151
Ak6	7387335	102238592	AK6	7382322	102157402	RGD	Ak6	7401162	102216272	MGI:5510732	NCBI	HGNC:49151
Akr1b10	1308277	296972	AKR1B10	1317959	57016	RGD	Akr1b10	1317960	67861	MGI:1915111	Transitive Ortholog Pipeline	HGNC:382
Aldh3b2	1584166	688800	ALDH3B2	1318187	222	RGD	Aldh3b2	1318188	621603	MGI:2147613	RGD	HGNC:411
Alpg	1565100	367308	ALPG	1347925	251	RGD	Alppl2	1314396	11650	MGI:108009	RGD	HGNC:441
Alpi	2099	24197	ALPI	737157	248	RGD	Alpi	1623897	76768	MGI:1924018	Ensembl	HGNC:437
Alpi	2099	24197	ALPI	737157	248	RGD	Alpi	1623897	76768	MGI:1924018	OrthoDB	HGNC:437
Alpi	2099	24197	ALPI	737157	248	RGD	Alpi	1623897	76768	MGI:1924018	Panther	HGNC:437
Alpi	2099	24197	ALPI	737157	248	RGD	Alpi	1623897	76768	MGI:1924018	HomoloGene	HGNC:437
Alpi	2099	24197	ALPI	737157	248	RGD	Alpi	1623897	76768	MGI:1924018	OrthoMCL	HGNC:437
Alpi	2099	24197	ALPI	737157	248	RGD	Alpi	1623897	76768	MGI:1924018	Treefam	HGNC:437
Amph	620274	60668	AMPH	733884	273	RGD	Amph	733885	218038	MGI:103574	RGD	HGNC:471
Ang	1594539	305843	ANG	1349500	283	RGD	Ang	1558200	11727	MGI:88022	RGD	HGNC:483
Ankhd1	4892133	100529260	ANKHD1	1606539	54882	RGD	Ankhd1	1616644	108857	MGI:1921733	RGD	HGNC:24714
Ankra2	1303108	294679	ANKRA2	1347651	57763	RGD	Ankra2	1552699	68558	MGI:1915808	RGD	HGNC:13208
Ankrd29	1587260	498823	ANKRD29	1317259	147463	RGD	Ankrd29	1317260	225187	MGI:2687055	RGD	HGNC:27110
Ankrd36	735187	305491	ANKRD36	1342961	375248	RGD	Ankrd36	1557920	76389	MGI:1923639	RGD	HGNC:24079
Anks1b	1565556	314721	ANKS1B	1602104	56899	RGD	Anks1b	1556867	77531	MGI:1924781	RGD	HGNC:24600
Ano2	1591606	100361584	ANO2	1352763	57101	RGD	Ano2	1619806	243634	MGI:2387214	RGD	HGNC:1183
Anp32a	11508551	108348156	ANP32A	1606331	8125	RGD	Anp32a	10162	11737	MGI:108447	RGD	HGNC:13233
Antxr2	1561294	305633	ANTXR2	1346318	118429	RGD	Antxr2	1620775	71914	MGI:1919164	RGD	HGNC:21732
Anxa8	1307719	306283	ANXA8	1317074	653145	RGD	Anxa8	1317075	11752	MGI:1201374	HomoloGene	HGNC:546
Aoc2-ps1	727941	353257	AOC2	1344698	314	RGD	Aoc2	1623766	237940	MGI:2668431	RGD	HGNC:549
Aph1b	1562468	300802	APH1B	1344589	83464	RGD	Aph1b	1558362	208117	MGI:3522097	RGD	HGNC:24080
Aplp2	2128	64312	APLP2	731852	334	RGD	Aplp2	10172	11804	MGI:88047	RGD	HGNC:598
Arap2	1306452	305367	ARAP2	1315077	116984	RGD	Arap2	1315078	212285	MGI:2684416	RGD	HGNC:16924
Arap3	1304938	361314	ARAP3	1347923	64411	RGD	Arap3	1621402	106952	MGI:2147274	RGD	HGNC:24097
Arfgap3	1560066	503165	ARFGAP3	1344539	26286	RGD	Arfgap3	1614378	66251	MGI:1913501	RGD	HGNC:661
Arhgap18	1305053	293947	ARHGAP18	1312852	93663	RGD	Arhgap18	1312853	73910	MGI:1921160	RGD	HGNC:21035
Arhgef38	1311728	295449	ARHGEF38	1603216	54848	RGD	Arhgef38	1557565	77669	MGI:1924919	RGD	HGNC:25968
Arl14	9465124	103690167	ARL14	1349632	80117	RGD	Arl14	1623177	71619	MGI:1918869	RGD	HGNC:22974
Arl4c	1589685	103693239	ARL4C	1345856	10123	RGD	Arl4c	1614814	320982	MGI:2445172	RGD	HGNC:698
Armc3	2319961	100361506	ARMC3	1312695	219681	RGD	Armc3	1312696	70882	MGI:1918132	RGD	HGNC:30964
Arntl2	620230	362464	ARNTL2	737603	56938	RGD	Arntl2	1551457	272322	MGI:2684845	RGD	HGNC:18984
Arpc1a	620834	81824	ARPC1A	1344294	10552	RGD	Arpc1a	731262	56443	MGI:1928896	RGD	HGNC:703
Arpc5l	1308867	296710	ARPC5L	1318888	81873	RGD	Arpc5l	1318889	74192	MGI:1921442	RGD	HGNC:23366
Asmt	708472	246281	ASMT	1353638	438	RGD	Asmt	3731974	107626	MGI:96090	Ensembl	HGNC:750
Asmt	708472	246281	ASMT	1353638	438	RGD	Asmt	3731974	107626	MGI:96090	OrthoDB	HGNC:750
Asmt	708472	246281	ASMT	1353638	438	RGD	Asmt	3731974	107626	MGI:96090	Panther	HGNC:750
Asmt	708472	246281	ASMT	1353638	438	RGD	Asmt	3731974	107626	MGI:96090	Inparanoid	HGNC:750
Asmt	708472	246281	ASMT	1353638	438	RGD	Asmt	3731974	107626	MGI:96090	OMA	HGNC:750
Asmt	708472	246281	ASMT	1353638	438	RGD	Asmt	3731974	107626	MGI:96090	NCBI	HGNC:750
Asmt	708472	246281	ASMT	1353638	438	RGD	Asmt	3731974	107626	MGI:96090	EggNOG	HGNC:750
